VARIABLE,AVG_PEARSON_ABS_R,MAX_PEARSON_ABS_R,AVG_ETA_SQUARED,MAX_ETA_SQUARED,N_STRONG_CORR,SIGNAL_SCORE,IS_TRANSFORMED,LIFE_MATCHER_WEIGHT,LIFE_MATCHER_USE,DECISION_1_APPLIED,DECISION_2_APPLIED,DECISION_3_APPLIED,DECISION_4_TIER,TIER
ECOMMERCE_PCT_LN,0.124,0.999,0.0357,0.3183,1,0.0887,True,0,false,OFF (Group C 원본 사용),,,EXCLUDE,EXCLUDE
ECOMMERCE_PCT,0.122,0.999,0.0338,0.3005,1,0.0867,False,1,true,,,,MEDIUM,MEDIUM
FOOD_PCT,0.1192,0.6814,0.0265,0.1162,2,0.0822,False,1,true,,,,MEDIUM,MEDIUM
SEG_SENIOR_PCT,0.1089,0.5897,0.0409,0.0799,2,0.0817,False,1,true,,,,MEDIUM,MEDIUM
SALES_MONTHLY_AVG,0.1184,0.5985,0.0227,0.0789,1,0.0801,False,1,false,"OFF (원본, 변환=SALES_MONTHLY_AVG_LN 사용)",,,EXCLUDE,EXCLUDE
RUSH_HOUR_RATIO,0.1271,0.578,0.0078,0.0234,1,0.0794,False,1,true,,PROMOTED (0.5 → 1.0),,MEDIUM,MEDIUM
SALES_PER_CAPITA_MONTHLY,0.1052,0.4449,0.0348,0.1083,0,0.077,False,0.5,false,"OFF (원본, 변환=SALES_PER_CAPITA_MONTHLY_LN 사용)",,,EXCLUDE,EXCLUDE
AGE_50S_PCT_LN,0.1081,0.9898,0.0214,0.1424,1,0.0734,True,0,false,OFF (Group C 원본 사용),,,EXCLUDE,EXCLUDE
CASH_ADVANCE_PCT_LN,0.1101,0.999,0.0125,0.0382,1,0.071,True,0,false,OFF (Group C 원본 사용),,,EXCLUDE,EXCLUDE
INSTALLMENT_PCT,0.0963,0.2578,0.0326,0.0999,0,0.0708,False,0.5,true,,,,LOW,LOW
CASH_ADVANCE_PCT,0.1089,0.999,0.0122,0.0343,1,0.0702,False,0.5,true,,,,LOW,LOW
EARLY_MORNING_RATIO_LN,0.1084,0.9958,0.0101,0.0382,1,0.0691,True,0,false,OFF (Group C 원본 사용),,,EXCLUDE,EXCLUDE
AGE_50S_PCT,0.1002,0.9898,0.0172,0.098,1,0.067,False,0.5,true,,,,LOW,LOW
LUNCH_TIME_RATIO,0.0994,0.6814,0.0175,0.0889,1,0.0666,False,1,true,,PROMOTED (0.5 → 1.0),,MEDIUM,MEDIUM
EARLY_MORNING_RATIO,0.1009,0.9958,0.0084,0.0344,1,0.0639,False,1,true,,PROMOTED (0.5 → 1.0),,MEDIUM,MEDIUM
PREMIUM_40PY_RATIO,0.0891,0.216,0.0113,0.0685,0,0.058,False,0.5,true,,,,LOW,LOW
COFFEE_PCT_LN,0.0871,0.9944,0.0123,0.0346,1,0.0572,True,0,false,OFF (Group C 원본 사용),,,EXCLUDE,EXCLUDE
MEDICAL_PCT_LN,0.0778,0.9982,0.0239,0.0697,1,0.0562,True,0,false,OFF (Group C 원본 사용),,,EXCLUDE,EXCLUDE
MEDICAL_PCT,0.0759,0.9982,0.0223,0.065,1,0.0545,False,1,true,,PROMOTED (0.5 → 1.0),,MEDIUM,MEDIUM
COFFEE_PCT,0.0799,0.9944,0.0089,0.0307,1,0.0515,False,1,true,,PROMOTED (0.5 → 1.0),,MEDIUM,MEDIUM
HAS_RICHGO_APT,,,,,,,None,1,true,,,META 플래그 (V=0.8 통합 후 7개),META,META
SPH_LOW_QUALITY,,,,,,,None,1,true,,,META 플래그 (V=0.8 통합 후 7개),META,META
IS_GHOST_ECONOMY,,,,,,,None,1,true,,,META 플래그 (V=0.8 통합 후 7개),META,META
LOW_RESIDENT_FLAG,,,,,,,None,1,true,,,META 플래그 (V=0.8 통합 후 7개),META,META
AGE_DATA_RELIABLE,,,,,,,None,1,true,,,META 플래그 (V=0.8 통합 후 7개),META,META
WORKER_DOMINANT,,,,,,,None,1,true,,,META 플래그 (V=0.8 통합 후 7개),META,META
HAS_ECOMMERCE,,,,,,,None,1,true,,,META 플래그 (V=0.8 통합 후 7개),META,META
